Linea,Stazione 1,Stazione 2,Colore
R3,5154,5366,#94C120
R3,5365,5366,#94C120
R3,5364,5365,#94C120
R3,5152,5364,#94C120
R3,5152,5361,#94C120
R3,5361,5151,#94C120
R3,5359,5151,#94C120
R3,5357,5359,#94C120
R3,5356,5357,#94C120
R3,5355,5356,#94C120
R3,5355,5093,#94C120
R3,5352,5093,#94C120
R3,5352,5350,#94C120
R3,5348,5350,#94C120
R3,5051,5348,#94C120
R3,5368,5154,#94C120
R3,5368,5369,#94C120
R3,5369,5370,#94C120
R3,5370,5374,#94C120
R3,5374,5375,#94C120
R3,5376,5375,#94C120
R3,5376,5378,#94C120
R3,5378,734,#94C120
R3,5154,5367,#94C120
R3,5366,5367,#94C120
R3,5363,5364,#94C120
R3,5362,5363,#94C120
R3,5152,5362,#94C120
R3,5353,5093,#94C120
R3,5352,5353,#94C120
R3,5352,5351,#94C120
R3,5350,5351,#94C120
R3,5349,5350,#94C120
R3,5348,5349,#94C120
R3,5347,5348,#94C120
R3,5347,5051,#94C120
R27,5053,5054,#94C120
R27,1707,5054,#94C120
R27,5048,1707,#94C120
R27,5048,5262,#94C120
R27,5262,5263,#94C120
R27,5264,5263,#94C120
R27,5264,5334,#94C120
R27,5333,5334,#94C120
R27,5332,5333,#94C120
R27,5329,5332,#94C120
R27,5329,3589,#94C120
XP1,5266,5276,#9B194E
XP1,5264,5266,#9B194E
XP1,5264,5048,#9B194E
XP1,5048,1707,#9B194E
XP1,1707,5053,#9B194E
S4,5053,5054,#0058A2
S4,1707,5054,#0058A2
S4,5065,1707,#0058A2
S4,5065,5073,#0058A2
S4,5073,5046,#0058A2
S4,819,5046,#0058A2
S4,5069,5070,#0058A2
S4,5409,5069,#0058A2
S4,5409,5066,#0058A2
S4,5065,5066,#0058A2
S4,5070,5071,#0058A2
S4,5072,5071,#0058A2
S4,5072,5073,#0058A2
S4,5086,5046,#0058A2
S4,5086,5087,#0058A2
S4,5088,5087,#0058A2
R17,5345,5346,#94C120
R17,5344,5345,#94C120
R17,5344,5343,#94C120
R17,5342,5343,#94C120
R17,5341,5342,#94C120
R17,5340,5341,#94C120
R17,5339,5340,#94C120
R17,5338,5339,#94C120
R17,5337,5338,#94C120
R17,5336,5337,#94C120
R17,5336,5048,#94C120
R17,5048,1707,#94C120
R17,1707,5054,#94C120
R17,5053,5054,#94C120
RE_1,5328,5327,#E40314
RE_1,5326,5327,#E40314
RE_1,5325,5326,#E40314
RE_1,5323,5325,#E40314
RE_1,5322,5323,#E40314
RE_1,5321,5322,#E40314
RE_1,5320,5321,#E40314
RE_1,5320,5319,#E40314
RE_1,5318,5319,#E40314
RE_1,5314,5318,#E40314
RE_1,5048,5314,#E40314
RE_1,5048,1707,#E40314
RE_1,1707,5054,#E40314
RE_1,5053,5054,#E40314
RE_1,5324,5325,#E40314
RE_1,5323,5324,#E40314
S3,5053,5054,#0058A2
S3,1707,5054,#0058A2
S3,5056,1707,#0058A2
S3,5056,5057,#0058A2
S3,5057,5058,#0058A2
S3,5058,5059,#0058A2
S3,5059,5060,#0058A2
S3,5060,5061,#0058A2
S3,5061,5062,#0058A2
S3,5062,5063,#0058A2
S3,5064,5063,#0058A2
S3,5064,5048,#0058A2
XP2,5266,5276,#9B194E
XP2,5264,5266,#9B194E
XP2,5264,5048,#9B194E
XP2,5048,1707,#9B194E
XP2,1707,1715,#9B194E
XP2,1728,1715,#9B194E
RE_7,5053,5054,#E40314
RE_7,1707,5054,#E40314
RE_7,5048,1707,#E40314
RE_7,5048,5336,#E40314
RE_7,5336,5337,#E40314
RE_7,5337,5338,#E40314
RE_7,5338,5339,#E40314
RE_7,5339,5340,#E40314
RE_7,5340,5341,#E40314
RE_7,5341,5342,#E40314
RE_7,5342,5343,#E40314
RE_7,5344,5343,#E40314
RE_7,5344,5345,#E40314
RE_7,5345,5346,#E40314
RE_7,5048,5338,#E40314
RE_7,5338,5343,#E40314
RE_3,5051,5348,#E40314
RE_3,5348,5350,#E40314
RE_3,5352,5350,#E40314
RE_3,5352,5093,#E40314
RE_3,5093,5359,#E40314
RE_3,5151,5359,#E40314
RE_3,5152,5151,#E40314
RE_3,5152,5364,#E40314
RE_3,5364,5365,#E40314
RE_3,5365,5366,#E40314
RE_3,5154,5366,#E40314
RE_3,5370,5154,#E40314
RE_3,5370,734,#E40314
RE_3,5154,734,#E40314
S6,2909,1917,#0058A2
S6,1618,2909,#0058A2
S6,1618,1174,#0058A2
S6,1174,3119,#0058A2
S6,381,3119,#0058A2
S6,2345,381,#0058A2
S6,2345,3098,#0058A2
S6,3098,1708,#0058A2
S6,3099,1708,#0058A2
S6,1713,3099,#0058A2
S6,1713,1714,#0058A2
S6,1714,1719,#0058A2
S6,1723,1719,#0058A2
S6,1723,3468,#0058A2
S6,3468,1718,#0058A2
S6,3169,1718,#0058A2
S6,3169,3507,#0058A2
S6,2147,3507,#0058A2
S6,2147,3061,#0058A2
S6,1690,3061,#0058A2
S6,1690,380,#0058A2
S6,380,2910,#0058A2
