route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
R3,72650810061690,10061690, ,901069,0, , 
R27,72703010062107,10062107, ,901263,0, , 
XP1,72714010064714,10064714, ,900378,0, , 
S4,72717710064739,10064739, ,900792,0, , 
R17,72676810059143,10059143, ,902152,0, , 
XP1,72682410064513,10064513, ,900394,0, , 
S4,72696710064597,10064597, ,900777,0, , 
RE_1,72708310064673,10064673, ,900047,0, , 
S3,72726410064788,10064788, ,900842,0, , 
XP2,72954010066159,10066159, ,910342,0, , 
RE_7,72709210059451,10059451, ,902124,0, , 
RE_3,72651510064309,10064309, ,900081,0, , 
XP1,72655710064332,10064332, ,900304,0, , 
S6,72834410065434,10065434, ,10667,0, , 
R22,72669710059074,10059074, ,912085,0, , 
S11,72923510065960,10065960, ,25022,0, , 
RE_3,72650710064306,10064306, ,900048,0, , 
R17,72721610064766,10064766, ,900154,0, , 
R22,72674510059120,10059120, ,902014,0, , 
XP1,72714410064717,10064717, ,900347,0, , 
R3,72650010064301,10064301, ,900028,0, , 
RE_1,72680410064499,10064499, ,900076,0, , 
R17,72953010066154,10066154, ,900166,0, , 
XP1,72684910064530,10064530, ,900389,0, , 
S6,72781010065117,10065117, ,10705,0, , 
RE_3,72652110064311,10064311, ,900078,0, , 
S3,72661910064374,10064374, ,900814,0, , 
R17,72675510064470,10064470, ,900173,0, , 
S13,72834810065437,10065437, ,23129,0, , 
S11,72836610065446,10065446, ,25026,0, , 
R22,72701410064624,10064624, ,900031,0, , 
S4,72951910066146,10066146, ,900784,0, , 
RE_7,72690210064565,10064565, ,900125,0, , 
R28,72709410064680,10064680, ,910356,0, , 
XP1,72726310064787,10064787, ,900384,0, , 
S4,72686110064539,10064539, ,900782,0, , 
R17,72725210064780,10064780, ,900191,0, , 
R3,72648810064296,10064296, ,900018,0, , 
S3,72699810064614,10064614, ,900840,0, , 
R22,72661610064372,10064372, ,910078,0, , 
R27,72725310064781,10064781, ,900279,0, , 
